Crown,KingTower,LeftPrincess,RigthPrincess,CrownOpponent,KingTowerOpponent,LeftPrincessOpponent,RigthPrincessOpponent,Cluster
0,6408,3062,0,1,6276,3549,247,1
1,6408,2983,3748,0,6408,3436,0,0
1,6408,1065,3922,0,6408,1865,0,0
0,6408,1350,0,1,6408,2985,3191,1
1,6408,1962,3680,0,6408,1709,0,0
1,6408,1696,146,0,6276,2514,0,0
1,5185,246,2000,0,5185,2809,0,0
1,6408,2525,2801,0,6408,2107,0,0
1,6274,1881,1028,0,6274,3558,0,0
1,6090,3840,1786,0,6408,3552,0,0
1,5453,2466,3385,0,6408,3409,0,0
0,0,0,0,3,5817,4032,3800,1
1,6408,4032,2348,0,6408,3916,0,0
1,5208,488,989,0,5208,2716,0,0
1,5996,432,924,0,6408,3281,0,0
1,6408,1048,2366,0,6408,3390,0,0
0,0,0,0,3,6408,4032,3887,1
1,4808,2250,3377,0,6408,3464,0,0
1,5289,4032,2479,0,6373,4032,0,0
1,6408,2454,3279,0,6338,3892,0,0
0,4996,366,0,1,5831,2319,1195,1
1,5392,1835,1493,0,6268,3916,0,0
1,6208,2308,4032,0,6408,4032,0,0
1,6408,1847,3885,0,6408,19,0,0
1,4309,1816,1491,0,5344,2782,0,0
0,5602,3079,0,1,5602,1820,364,1
0,6408,4032,0,1,6408,1670,4032,1
0,6090,4032,0,1,6408,756,3890,1
0,3461,3495,0,1,6408,979,3186,1
1,5342,2561,575,0,5342,2754,0,0
1,6004,2315,3261,0,6079,2996,0,0
1,5120,2204,2445,0,5050,1795,0,0
1,5772,3444,2065,0,6408,3890,0,0
1,5832,2502,2810,0,6408,3047,0,0
1,5832,3304,698,0,6408,4032,0,0
1,4186,2022,140,0,4531,2210,0,0
1,5693,3529,610,0,6038,3893,0,0
1,5832,3407,2986,0,6408,3916,0,0
1,5832,3668,2156,0,6408,4032,0,0
1,5832,2719,590,0,6408,3800,0,0
1,5700,3172,288,0,6408,3462,0,0
0,5832,3668,0,1,6177,1051,4032,1
1,5832,3668,1182,0,6408,4032,0,0
0,5832,2874,0,1,6408,916,3916,1
1,5722,1090,3558,0,6298,3845,0,0
1,5832,1065,3146,0,6408,3678,0,0
1,5832,27,3668,0,6408,4032,0,0
0,6408,3758,0,1,6408,558,3724,1
0,4981,2605,0,1,4981,953,391,1
0,6408,4032,0,1,6408,3758,2060,1
1,0,0,0,3,6002,2078,0,1
1,6408,88,2893,0,6408,1394,0,0
0,6408,1540,0,1,6408,3300,1322,1
2,3520,2215,0,1,4872,0,0,2
0,5566,4032,0,1,6408,3038,3104,1
0,6408,881,0,1,6134,3716,2724,1
1,6408,3174,4032,0,6408,4032,0,0
1,6408,2615,3188,0,6408,3526,0,0
2,6408,3886,296,0,4688,0,0,2
1,2006,0,0,2,6408,2632,0,1
0,6408,4032,0,1,6338,3724,1290,1
3,550,0,0,2,0,0,0,2
1,6408,4032,3661,0,5832,2174,0,0
0,4948,0,0,2,6408,1192,3312,1
1,6408,1124,1926,0,2468,3472,0,0
3,3258,2484,0,1,0,0,0,2
1,6408,406,3324,0,2970,3778,0,0
0,2937,3276,0,1,6154,2014,3311,1
1,6408,1552,4032,0,6408,3940,0,0
3,4572,4032,0,1,0,0,0,2
0,6152,2292,0,1,6212,2409,3180,1
2,6408,1582,0,1,4237,0,0,2
1,5903,785,2861,0,6408,3558,0,0
1,5145,1757,1277,0,3222,3472,0,0
0,5402,1542,0,1,6408,1552,2490,1
3,4247,161,0,1,0,0,0,2
1,6177,1216,2517,0,6330,4032,0,0
3,5175,2805,0,1,0,0,0,2
1,6408,3700,1295,0,6016,4032,0,0
1,6408,934,4032,0,4032,4032,0,0
3,3378,0,0,2,0,0,0,2
1,6408,426,2560,0,3950,192,0,0
1,6408,927,2567,0,6408,4032,0,0
0,0,0,0,3,6408,3611,3119,1
0,6408,3856,0,1,6408,997,4032,1
0,6408,4032,0,1,6408,2014,3676,1
0,3622,3278,0,1,6408,377,1203,1
0,6249,2240,0,1,6408,1715,3954,1
1,6408,3571,4032,0,6330,3838,0,0
1,5392,0,0,2,6408,3562,0,1
1,3868,1749,2480,0,6330,4032,0,0
1,6408,2025,3284,0,6330,3954,0,0
3,5566,3916,3916,0,0,0,0,2
1,0,0,0,3,6408,3977,0,1
1,5228,1478,921,0,5072,2386,0,0
1,6408,3345,1317,0,6408,3678,0,0
1,3002,189,578,0,4592,279,0,2
1,5060,649,2051,0,5672,3180,0,0
1,5613,3576,1617,0,6408,2302,0,0
1,6090,4032,2166,0,5970,2758,0,0
1,5718,3196,2691,0,6408,3912,0,0
0,4370,534,0,1,5405,42,1794,1
1,6215,888,1883,0,6292,2969,0,0
1,0,0,0,3,6408,3916,0,1
1,5242,3986,2714,0,6408,4032,0,0
1,6249,906,3650,0,6330,1461,0,0
1,5889,1554,2962,0,6408,3678,0,0
1,0,0,0,3,6408,3183,0,1
0,0,0,0,3,6408,3320,3916,1
1,6408,753,1235,0,6408,3436,0,0
1,5850,1104,3113,0,5850,3180,0,0
1,6408,3259,2440,0,6408,3748,0,0
2,6031,4032,0,1,5454,0,0,2
1,6408,1996,3488,0,6249,4032,0,0
1,6408,1281,3325,0,6408,3555,0,0
0,5060,4032,0,1,6408,4032,2175,1
1,6408,2601,4032,0,3954,3916,0,0
0,4882,2951,0,1,6408,1680,4032,1
2,5433,109,0,1,5120,0,0,2
0,6408,1792,0,1,6408,453,3433,1
1,6408,2800,2155,0,6408,3388,0,0
0,0,0,0,3,6408,2008,2272,1
1,6408,4032,2738,0,6408,3549,0,0
2,4004,30,0,1,4282,0,0,2
0,6408,2217,0,1,6408,1641,2729,1
1,6408,1958,3650,0,6408,3376,0,0
0,0,0,0,3,5610,1506,4032,1
1,5079,0,0,2,5931,3396,0,1
0,6408,3712,0,1,6090,431,3680,1
1,6408,1652,4032,0,6408,4032,0,0
1,6408,291,2683,0,6408,2335,0,0
0,6408,3075,0,1,6408,1473,1162,1
1,5724,740,3271,0,5724,3194,0,0
1,6408,4032,3113,0,6408,3878,0,0
0,6330,4032,0,1,6408,3878,1542,1
3,6090,2618,0,1,0,0,0,2
1,6408,3120,3740,0,4602,3246,0,0
0,5242,4032,0,1,6408,3262,1352,1
3,6408,4032,2398,0,0,0,0,2
0,4445,1837,0,1,4445,893,585,1
1,0,0,0,3,6002,2568,0,1
1,6408,943,1142,0,6408,4032,0,0
1,6408,3568,3800,0,6408,2012,0,0
2,6408,4032,2454,0,6084,0,0,0
0,6408,4032,0,1,6408,3122,3384,1
1,489,0,0,2,4604,3846,0,1
0,6408,4032,0,1,6408,1836,4032,1
1,6408,3878,2207,0,6408,3604,0,0
1,6408,2170,4032,0,6408,3878,0,0
1,6408,4032,1879,0,3136,3660,0,0
0,5987,3222,0,1,6408,2554,634,1
0,6408,3696,0,1,6408,2282,3160,1
1,4059,438,1219,0,4059,1567,0,0
1,5171,355,2795,0,5171,2795,0,0
2,6408,4032,2297,0,5163,0,0,2
0,6408,1503,0,1,6276,3019,863,1
0,4854,1443,0,1,4854,844,2478,1
1,6085,567,1367,0,6085,2177,0,0
1,6408,2679,1708,0,6276,2706,0,0
1,6408,3600,4032,0,6276,3900,0,0
0,6408,1998,0,1,6276,2572,3784,1
0,6408,1808,0,1,6276,2928,3784,1
1,5560,408,2526,0,5560,379,0,0
1,6408,1723,1238,0,6408,2643,0,0
1,6408,2286,3120,0,6114,4032,0,0
3,3024,283,0,1,0,0,0,2
1,6408,3619,3878,0,6408,3027,0,0
0,6408,4032,0,1,6408,1241,3924,1
1,4300,3174,3504,0,5955,3891,0,0
0,6408,1463,0,1,6408,4032,2404,1
1,6408,4032,9,0,6408,3492,0,0
1,6408,3122,926,0,6408,3840,0,0
1,4096,0,0,2,4659,2961,0,1
1,6408,4032,2224,0,6408,4032,0,0
1,6307,2499,702,0,6307,3865,0,0
0,6408,4032,0,1,6408,2312,2604,1
0,6408,4032,0,1,6134,726,4032,1
1,6408,4032,1119,0,6408,3513,0,0
1,6408,2888,846,0,6408,3030,0,0
0,6408,3936,0,1,6408,2928,1475,1
1,6408,2364,1893,0,6408,899,0,0
1,6408,2289,3172,0,6408,4032,0,0
1,6408,4032,941,0,6408,4032,0,0
0,6408,4032,0,1,6408,3239,2042,1
0,6408,4032,0,1,6090,1618,1065,1
1,6408,1057,3871,0,6408,2700,0,0
1,6408,869,2681,0,6408,3924,0,0
1,4089,0,0,2,4893,4032,0,1
1,6090,2085,1002,0,6330,1161,0,0
1,6408,4032,4032,0,5497,2779,0,0
1,5234,20,2366,0,5234,1068,0,0
1,6408,2210,4032,0,6088,4032,0,0
0,0,0,0,3,6408,3329,3444,1
0,0,0,0,3,6408,4032,1939,1
0,6173,3621,0,1,6173,398,3601,1
0,0,0,0,3,6408,4032,3392,1
2,6134,984,0,1,5701,0,0,2
2,5242,4032,0,1,3888,0,0,2
1,6261,0,0,2,6408,2972,0,1
1,6408,3890,2520,0,5988,1838,0,0
1,5095,0,0,2,6212,2198,0,1
0,6408,3816,0,1,6408,2319,4032,1
3,5242,3108,0,1,0,0,0,2
3,3059,779,0,1,0,0,0,2
1,0,0,0,3,4395,4032,0,1
1,6408,589,3547,0,5951,2719,0,0
0,4159,3392,0,1,6408,4032,3079,1
1,3604,0,0,2,631,1190,0,2
2,5242,598,0,1,816,0,0,2
1,0,0,0,3,2349,2611,0,1
3,5698,4032,0,1,0,0,0,2
0,6408,3156,0,1,4621,2057,3885,1
1,6408,4032,980,0,6408,1847,0,0
0,6408,2328,0,1,6408,3150,2062,1
1,6408,4032,2897,0,6310,2985,0,0
1,6408,598,4032,0,6408,2709,0,0
1,6408,1385,639,0,6408,2413,0,0
0,6358,3982,3982,0,6358,3982,3982,0
0,0,0,0,3,6408,3916,2422,1
2,0,0,0,3,3222,0,0,2
0,6408,1359,0,1,6408,3800,712,1
0,6408,3731,0,1,5607,2609,3011,1
0,6408,3520,0,1,6408,755,3738,1
0,5016,1535,0,1,6408,1870,3434,1
1,4265,0,0,2,6408,1713,0,1
0,6280,2876,0,1,6280,3827,318,1
0,6408,4032,0,1,6408,4032,1031,1
0,6177,4032,0,1,6408,3685,4032,1
1,6408,2534,1914,0,6408,3597,0,0
0,6408,3887,0,1,6100,1231,3642,1
1,6408,1870,4032,0,6408,4032,0,0
0,4648,4032,0,1,6408,4032,2424,1
1,5808,3316,1952,0,5808,2884,0,0
1,6408,725,4032,0,6408,3924,0,0
1,6408,803,3916,0,6408,3189,0,0
1,6408,516,4032,0,6408,3816,0,0
1,5856,0,0,2,2920,1072,0,1
0,6408,4032,0,1,6273,2894,1668,1
1,5169,1877,2793,0,5169,2577,0,0
0,6408,3558,0,1,5903,785,2861,1
2,6292,413,0,1,6408,0,0,2
1,6408,4032,3344,0,6408,3484,0,0
1,6408,3574,3818,0,6408,3887,0,0
0,0,0,0,3,6134,4032,3221,1
1,6408,3086,720,0,5987,3758,0,0
0,0,0,0,3,5292,1446,3758,1
1,6408,3816,3168,0,6408,3466,0,0
0,0,0,0,3,4871,4032,3771,1
0,6408,49,0,1,6134,2800,2684,1
0,0,0,0,3,4176,3499,3468,1
0,0,0,0,3,6408,1039,3379,1
1,6408,3892,2606,0,6408,3368,0,0
1,4416,277,1898,0,4416,734,0,0
0,0,0,0,3,6408,2343,2769,1
0,0,0,0,3,5713,2363,3611,1
1,5904,3528,65,0,5904,2046,0,0
0,6408,4032,0,1,6408,1210,3916,1
1,6408,1638,4032,0,6408,854,0,0
3,6408,2963,4032,0,0,0,0,2
0,6408,2908,0,1,6408,1426,3762,1
1,5934,3558,648,0,5934,2914,0,0
3,6408,2128,4032,0,0,0,0,2
0,6324,3612,0,1,6408,3530,1532,1
3,6134,4032,3999,0,0,0,0,2
2,5397,3059,0,1,3960,0,0,2
0,6330,3562,0,1,6408,2848,58,1
1,6408,3510,2658,0,6408,2548,0,0
0,6209,2950,0,1,6209,1259,3609,1
2,5400,1775,0,1,6408,0,0,2
1,6408,2345,4032,0,6408,3296,0,0
0,6408,4032,0,1,6408,2784,4032,1
1,4462,1630,848,0,4462,1082,0,0
1,6408,4032,1809,0,6408,3724,0,0
1,6408,1562,430,0,6276,3784,0,0
0,5773,3002,0,1,5641,966,1617,1
0,5424,472,0,1,5424,2622,2255,1
1,6408,1774,2576,0,6408,3355,0,0
1,4697,845,346,0,4697,1044,0,0
0,5502,754,0,1,5502,586,1539,1
1,6408,2883,744,0,6408,705,0,0
0,5507,2918,0,1,5761,630,2959,1
1,6408,1676,3468,0,6408,4032,0,0
3,5913,630,0,1,0,0,0,2
2,3132,88,0,1,1454,0,0,2
2,5526,1876,0,1,5688,0,0,2
0,6408,4032,0,1,6408,235,4032,1
2,5751,1681,0,1,6090,0,0,2
0,0,0,0,3,6408,1056,2866,1
1,5187,0,0,2,4666,770,0,1
2,6408,317,2117,0,5483,0,0,2
2,5912,2138,0,1,5744,0,0,2
1,6276,4032,368,0,4168,1170,0,0
2,5900,1794,0,1,4846,0,0,2
0,6408,0,0,2,6134,2443,35,1
2,6408,2455,0,1,3236,0,0,2
3,1888,0,0,2,0,0,0,2
3,6408,4032,0,1,0,0,0,2
2,4368,3822,0,1,4443,0,0,2
3,1202,0,0,2,0,0,0,2
0,6408,3268,0,1,6408,2522,3016,1
3,4242,4032,0,1,0,0,0,2
3,6408,3778,0,1,0,0,0,2
0,5987,2966,0,1,6408,2219,4032,1
1,4301,0,0,2,1393,614,0,2
1,6408,820,3520,0,6408,2490,0,0
1,4459,0,0,2,6408,2785,0,1
1,5698,2807,260,0,5698,2742,0,0
3,6408,4032,2438,0,0,0,0,2
0,6252,4032,0,1,6408,3916,704,1
0,6408,3135,0,1,6408,2375,2719,1
1,6408,1426,2736,0,6408,3377,0,0
0,6408,3710,0,1,6408,1796,4032,1
0,6408,3705,0,1,6408,1015,3916,1
1,6276,3473,2648,0,6408,4032,0,0
1,6261,4032,3885,0,6408,3856,0,0
1,6192,72,669,0,6408,1678,0,0
1,5409,1583,1371,0,5487,1381,0,0
0,6408,844,0,1,6254,2880,554,1
1,6408,4032,439,0,5586,2390,0,0
1,6408,4032,598,0,6408,4032,0,0
0,6408,4032,0,1,6408,2901,3149,1
0,6408,3672,0,1,6408,2644,1932,1
1,6408,1019,3924,0,6177,2877,0,0
0,6408,4032,0,1,6408,2092,4032,1
1,4819,2308,2443,0,4819,501,0,0
0,3334,0,0,2,6408,2816,3647,1
1,5677,1155,2233,0,5677,3009,0,0
0,0,0,0,3,6408,1672,4032,1
0,5795,1031,0,1,6276,3338,3325,1
0,6408,4032,0,1,6045,4032,649,1
0,6408,3154,0,1,6408,1216,4032,1
3,6408,1306,4032,0,0,0,0,2
3,6168,3792,0,1,0,0,0,2
0,3417,3990,0,1,6408,1003,4032,1
0,6192,351,0,1,6408,2755,4032,1
2,0,0,0,3,4609,0,0,2
1,0,0,0,3,2031,4032,0,1
1,0,0,0,3,4968,1480,0,1
1,2952,0,0,2,4572,1007,0,1
0,6408,3168,0,1,6408,2554,2017,1
0,5132,3619,0,1,6408,3112,466,1
0,6408,3916,0,1,6408,3916,3123,1
1,5886,2561,3510,0,5886,2826,0,0
0,6408,3685,0,1,6408,2945,4032,1
0,0,0,0,3,6408,4032,1649,1
0,4806,1223,0,1,6408,525,3702,1
0,6408,4032,0,1,6408,2945,4032,1
1,5018,560,2488,0,5018,2216,0,0
1,5340,1576,2964,0,5340,1299,0,0
1,6408,4032,716,0,6408,4032,0,0
0,6408,973,0,1,6408,1729,3745,1
0,6408,178,0,1,6408,3366,3658,1
1,6408,4032,3024,0,6408,3890,0,0
0,5756,884,0,1,5756,2600,841,1
1,6408,4032,1956,0,6408,4032,0,0
1,6408,4032,2743,0,6408,3890,0,0
0,0,0,0,3,6408,1364,2657,1
1,4704,1083,1618,0,4572,2328,0,0
0,6408,3070,0,1,6408,3093,4032,1
0,6408,3568,0,1,6408,3684,206,1
1,6408,4032,4032,0,5817,3658,0,0
0,6231,3627,0,1,6231,465,2456,1
0,5088,934,0,1,5088,1110,1087,1
1,6408,2802,3371,0,6408,3774,0,0
0,6408,3678,0,1,6408,3132,1240,1
0,0,0,0,3,6408,1920,4032,1
1,0,0,0,3,3349,4032,0,1
1,6408,1133,2678,0,6408,2283,0,0
0,6408,4032,0,1,6408,552,3900,1
0,0,0,0,3,5832,2218,3668,1
0,6408,151,0,1,6408,2753,914,1
1,6408,1650,1066,0,6408,4032,0,0
1,6071,4032,2027,0,6408,3008,0,0
1,4764,3234,1919,0,6408,1436,0,0
1,3146,0,0,2,6408,4032,0,1
1,5987,1035,3916,0,5366,2698,0,0
0,5088,1976,0,1,5232,1132,2091,1
0,5395,1864,0,1,5395,1351,879,1
1,5987,4032,774,0,6408,1619,0,0
0,5828,3336,0,1,5828,59,2640,1
1,5548,2724,945,0,5548,1264,0,0
0,6408,4032,0,1,6408,210,4032,1
1,6408,1071,2290,0,4482,4032,0,0
3,342,222,0,1,0,0,0,2
1,3392,0,0,2,2756,1594,0,1
2,6408,1007,3085,0,3864,0,0,2
0,6408,147,0,1,6408,3558,3280,1
1,0,0,0,3,1439,1764,0,1
3,6408,160,4032,0,0,0,0,2
0,6408,3388,0,1,6408,2834,3878,1
0,5912,3536,0,1,5912,3536,82,1
1,6408,1515,3924,0,2676,2814,0,0
1,6408,3800,1858,0,6408,3776,0,0
1,6408,3520,2522,0,6408,3520,0,0
0,4481,3619,0,1,6408,854,3320,1
1,996,0,0,2,3817,3612,0,1
0,4210,0,0,2,6408,1581,675,1
1,6408,4032,2199,0,5976,4032,0,0
1,6408,3478,1939,0,6408,2016,0,0
0,5978,1940,0,1,6408,3154,4032,1
0,6408,3590,0,1,6408,1435,2852,1
0,6408,4032,0,1,6408,2550,4032,1
0,0,0,0,3,6408,4032,4032,1
3,5242,245,0,1,0,0,0,2
2,3616,1154,0,1,5626,0,0,2
1,6408,3165,1424,0,6408,3740,0,0
1,6408,530,1341,0,6408,1948,0,0
1,6408,2586,1772,0,6408,2417,0,0
1,2692,0,0,2,5624,1627,0,1
1,6408,274,3360,0,6408,4032,0,0
0,6408,4032,0,1,6408,3934,2381,1
2,0,0,0,3,6016,0,0,1
1,5869,1104,2619,0,5869,3493,0,0
1,6408,1894,3420,0,6212,2457,0,0
2,3755,4032,0,1,993,0,0,2
0,6408,2298,0,1,6310,3800,1849,1
0,6408,3084,0,1,6408,3221,634,1
2,6408,3324,3077,0,2148,0,0,2
1,6408,2463,2590,0,6408,2210,0,0
0,5987,3948,0,1,6408,3018,3290,1
1,6408,4032,1998,0,6408,2894,0,0
0,6154,3608,0,1,6408,3402,2906,1
1,2050,0,0,2,5240,1596,0,1
0,6408,3285,0,1,6408,2810,1616,1
1,0,0,0,3,2900,2306,0,1
0,5000,4032,0,1,6408,3352,3724,1
1,6408,642,851,0,6408,706,0,0
0,6408,3221,0,1,6408,1718,3878,1
1,0,0,0,3,6177,2997,0,1
0,0,0,0,3,6408,2096,1442,1
1,3532,0,0,2,5837,39,0,1
0,0,0,0,3,6408,3850,3205,1
1,5080,0,0,2,3320,3312,0,1
1,1656,0,0,2,4686,658,0,1
0,0,0,0,3,6408,3192,3124,1
0,6408,3916,0,1,6408,1377,1638,1
0,6408,2298,0,1,6408,3686,2122,1
1,6408,2344,33,0,6408,2984,0,0
1,6408,1479,2460,0,6134,2023,0,0
2,625,2690,0,1,5509,0,0,2
1,6408,4032,1104,0,6100,4032,0,0
1,5370,0,0,2,3129,1542,0,1
2,5370,1230,0,1,2104,0,0,2
1,2511,0,0,2,2396,3122,0,1
0,6408,2562,0,1,6408,1967,4032,1
1,6408,2166,3710,0,6408,3778,0,0
2,594,3254,0,1,6261,0,0,2
1,6408,296,962,0,6408,1602,0,0
1,6408,4032,464,0,6107,1206,0,0
1,6408,2516,3466,0,3208,3762,0,0
2,6292,740,0,1,5338,0,0,2
1,6408,2682,1112,0,6408,4032,0,0
0,6408,3434,0,1,6408,3315,3213,1
0,6408,4032,0,1,6408,3312,3345,1
2,6408,3460,0,1,6408,0,0,2
0,6408,3375,0,1,6408,3758,1566,1
0,6408,2762,0,1,6408,3668,1316,1
3,6408,2653,4032,0,0,0,0,2
0,5356,4032,0,1,6408,4032,1918,1
1,546,0,0,2,3047,2338,0,1
3,4498,1888,4032,0,0,0,0,2
1,6254,3190,2763,0,6408,377,0,0
1,6408,4032,1343,0,1854,2346,0,0
1,4529,329,2237,0,4697,2067,0,0
3,5898,4032,2186,0,0,0,0,2
2,6254,1690,0,1,5073,0,0,2
0,6408,4032,0,1,6408,3608,2352,1
1,6408,1374,4032,0,6408,2112,0,0
0,2544,1220,0,1,6063,1928,3342,1
1,6408,1030,983,0,6408,2954,0,0
1,5840,0,0,2,6408,2100,0,1
0,6408,4032,0,1,6408,1645,2972,1
0,6408,3488,0,1,6408,3207,1786,1
0,0,0,0,3,6408,4032,176,1
0,6408,3770,0,1,6408,4032,277,1
1,5860,2386,550,0,6408,3731,0,0
0,6408,4032,0,1,6408,754,4032,1
2,6408,4032,0,1,2184,0,0,2
1,6408,2497,3248,0,5832,3312,0,0
3,6408,2253,2799,0,0,0,0,2
2,6408,2044,3493,0,4182,0,0,2
1,3016,0,0,2,1217,2568,0,1
0,6100,1504,0,1,6408,3716,1064,1
1,6408,2820,846,0,6408,4032,0,0
0,6408,2612,0,1,6408,2726,1893,1
1,6408,4032,969,0,6408,4032,0,0
3,6408,4032,4032,0,0,0,0,2
1,6231,4032,3565,0,6408,2994,0,0
1,6408,4032,1502,0,6408,2880,0,0
1,5734,4032,2304,0,6408,2660,0,0
0,5516,2123,0,1,6150,42,1046,1
0,6408,3506,0,1,6408,3916,2424,1
0,6408,3680,0,1,6408,4032,1347,1
0,6291,3134,0,1,6408,2051,3800,1
1,5320,364,2670,0,5320,2274,0,0
1,6408,1019,2743,0,6408,2490,0,0
1,3234,1072,3389,0,5978,3602,0,0
0,6408,4032,0,1,6252,3838,2276,1
0,6408,2547,0,1,6408,1832,3916,1
0,6408,3484,0,1,6408,2821,3916,1
0,0,0,0,3,6330,3916,3916,1
1,6408,3198,2048,0,6408,3696,0,0
1,5052,2372,1695,0,5395,2031,0,0
1,6183,11,3269,0,6183,3807,0,0
0,6408,3901,0,1,6408,620,4032,1
0,6332,2492,0,1,6332,3248,1365,1
0,5671,2544,0,1,6330,2688,525,1
1,3563,1187,155,0,3563,645,0,2
1,5341,1660,1583,0,5341,2171,0,0
0,4416,1896,0,1,4416,606,2040,1
1,5766,630,2758,0,5812,1434,0,0
1,5093,604,2570,0,5093,947,0,0
0,5830,1132,0,1,5928,310,3474,1
1,4447,966,237,0,5756,2830,0,0
0,0,0,0,3,5817,3838,4032,1
0,6408,3883,0,1,6408,3640,3954,1
1,4189,392,2744,0,5873,3265,0,0
1,6408,2613,2288,0,6408,3676,0,0
0,6408,1303,0,1,6408,4032,1392,1
1,6198,952,3402,0,6120,2876,0,0
1,4882,2451,3769,0,5989,3301,0,0
2,6408,3758,757,0,6408,0,0,0
1,4878,2669,2252,0,6252,3488,0,0
0,6408,3010,0,1,6369,1174,3877,1
3,6408,3955,4032,0,0,0,0,2
0,6192,3916,0,1,6408,3676,2063,1
1,5489,3600,2457,0,6330,3478,0,0
1,6090,33,4032,0,6330,3834,0,0
1,3248,984,2737,0,6408,2776,0,0
1,6408,240,3916,0,6408,3714,0,0
1,5887,0,0,2,6408,3366,0,1
1,6408,3195,4032,0,6408,2026,0,0
1,5315,2481,355,0,5315,2113,0,0
1,6408,3744,926,0,6408,3042,0,0
1,6408,856,3022,0,6408,3916,0,0
0,5414,2361,0,1,5258,913,2178,1
0,6408,3916,0,1,6408,3093,3954,1
1,5871,3211,1098,0,5871,3107,0,0
1,5847,1074,3943,0,6319,3471,0,0
1,6408,2006,3936,0,6408,4032,0,0
1,5810,855,2654,0,6330,3792,0,0
1,5566,3526,2093,0,6330,3209,0,0
1,6408,2972,72,0,6408,2232,0,0
2,2272,456,0,1,1485,0,0,2
3,4776,4032,0,1,0,0,0,2
1,6408,4032,1906,0,5047,2020,0,0
0,6216,3612,0,1,6408,4032,3608,1
0,6408,4032,0,1,6408,549,4032,1
1,6408,2374,645,0,6408,2418,0,0
0,6408,3808,0,1,6408,3484,663,1
1,5451,292,2274,0,5451,839,0,0
1,6408,4032,4032,0,6408,2888,0,0
1,6408,2421,629,0,6408,1752,0,0
3,6408,4032,3286,0,0,0,0,2
1,6378,1630,1838,0,6378,1180,0,0
0,6408,1002,0,1,6408,1371,1200,1
0,0,0,0,3,6408,3916,3126,1
0,6076,4032,0,1,5772,4032,408,1
1,6408,2889,1309,0,6408,3244,0,0
0,6408,3717,0,1,6408,131,1845,1
2,2868,1735,0,1,5376,0,0,2
1,5987,3758,1990,0,6408,3800,0,0
0,6241,3652,0,1,6241,3749,803,1
2,6408,2678,3424,0,6408,0,0,0
0,6408,1731,0,1,6408,3792,908,1
0,6408,1996,0,1,6408,3916,3838,1
0,5714,3273,0,1,5795,76,3017,1
1,6408,2972,3134,0,6408,3954,0,0
0,5235,1719,0,1,5235,2627,2859,1
0,6228,2650,0,1,6330,3792,1069,1
1,4884,226,600,0,4884,2392,0,0
0,6408,3171,0,1,6408,121,3834,1
0,5807,2605,0,1,5807,1642,2016,1
1,4812,1340,172,0,4656,2048,0,0
1,4535,187,255,0,4653,1925,0,0
0,5718,964,0,1,6330,3916,3798,1
1,5931,2313,1195,0,6330,3676,0,0
1,5030,2972,2848,0,5309,2972,0,0
1,4681,2305,874,0,4681,2305,0,0
0,4851,1719,0,1,4851,502,2127,1
0,4700,1610,0,1,4808,1448,301,1
1,6330,3322,920,0,6408,1853,0,0
0,6408,4032,0,1,6408,3916,170,1
1,6331,3172,3816,0,5490,386,0,0
1,6408,1694,3954,0,6330,3644,0,0
1,5542,3382,972,0,6330,3606,0,0
2,4216,2396,0,1,5419,0,0,2
1,6408,1701,3878,0,6408,2455,0,0
1,6408,2437,4032,0,6408,4032,0,0
0,5718,2726,0,1,5718,2124,3342,1
1,6408,1782,2537,0,5698,2984,0,0
3,5817,4032,3533,0,0,0,0,2
1,4864,266,2488,0,4864,732,0,0
1,6408,1683,4032,0,6192,4032,0,0
1,6408,3885,3878,0,6408,3912,0,0
1,4418,1945,1011,0,4928,1300,0,0
0,6408,1634,0,1,6408,2058,3250,1
0,6408,3954,0,1,6408,3576,2988,1
2,3092,4032,0,1,4818,0,0,2
3,6408,1556,3296,0,0,0,0,2
1,5566,3611,2052,0,6408,3792,0,0
3,4317,3739,3714,0,0,0,0,2
1,0,0,0,3,5784,1326,0,1
1,6408,2414,3672,0,6408,3564,0,0
0,6408,3020,0,1,6408,1524,2984,1
1,6408,4032,20,0,6408,4032,0,0
1,6408,4032,400,0,6408,1467,0,0
1,6408,3239,3278,0,6408,4032,0,0
0,2118,0,0,2,6408,3681,3153,1
0,6408,2898,0,1,6408,683,856,1
1,5511,2861,1018,0,5511,1391,0,0
0,5868,10,0,1,6408,1750,1607,1
0,6408,3476,0,1,6408,716,3999,1
0,3968,0,0,2,6408,3132,3620,1
1,4674,824,984,0,4674,972,0,0
0,6408,4032,0,1,6249,1578,3993,1
1,6408,4032,2286,0,6408,4032,0,0
0,6408,4032,0,1,6249,4032,2081,1
1,6408,1531,3916,0,5348,3281,0,0
3,6408,3342,3183,0,0,0,0,2
0,6408,4032,0,1,6408,328,3993,1
1,6408,1607,2109,0,6408,4032,0,0
1,6090,4032,3211,0,6408,3312,0,0
1,6408,833,4032,0,2059,3124,0,0
0,5970,4032,0,1,6261,2119,4032,1
0,5028,2531,0,1,6408,447,2568,1
1,5988,0,0,2,5538,3578,0,1
1,6408,947,2793,0,6408,2862,0,0
1,6372,3816,812,0,3578,4032,0,0
0,6086,2498,0,1,6408,419,3124,1
0,4132,1576,0,1,5832,2729,260,1
1,6408,8,3912,0,6408,1318,0,0
