Crown,KingTower,LeftPrincess,RigthPrincess,CrownOpponent,KingTowerOpponent,LeftPrincessOpponent,RigthPrincessOpponent,Cluster
0,4824,1559,0,1,5304,2141,3346,1
3,4824,3052,3052,0,0,0,0,2
1,4656,2968,761,0,5304,2360,0,0
0,0,0,0,3,4824,2226,1214,1
1,4824,3052,117,0,4824,2947,0,0
0,4824,526,0,1,4824,3052,325,1
1,4824,2286,2740,0,5304,3028,0,0
0,4824,3052,0,1,4824,1856,2647,1
1,4824,2689,2260,0,5304,3102,0,0
3,4824,3052,3052,0,0,0,0,2
0,0,0,0,3,4824,2402,2947,1
0,0,0,0,3,4824,2763,657,1
0,3393,2258,0,1,4824,1287,2366,1
3,4392,1748,1916,0,0,0,0,2
1,4392,58,644,0,4824,817,0,0
2,4076,2416,0,1,810,0,0,2
0,0,0,0,3,4824,3052,2763,1
1,0,0,0,3,4359,433,0,1
1,4392,0,0,2,2219,1088,0,2
0,0,0,0,3,4766,3052,1379,1
1,4392,1679,2678,0,4437,2498,0,0
1,4392,2477,395,0,4824,2747,0,0
3,4020,2786,1190,0,0,0,0,2
1,2607,0,0,2,4534,1564,0,1
1,1701,157,660,0,4392,2393,0,0
0,3276,0,0,2,4824,1610,871,1
0,4740,2155,0,1,4824,3052,1554,1
0,0,0,0,3,5304,3346,1416,1
0,4824,2609,0,1,4824,2668,1827,1
0,3858,1517,0,1,4824,923,2975,1
0,0,0,0,3,5304,2487,3346,1
0,4824,3052,0,1,5304,2730,1883,1
0,4824,2982,0,1,4824,3052,1461,1
2,4403,2761,0,1,4138,0,0,2
1,2262,0,0,2,4138,1321,0,1
0,3232,3052,0,1,5304,1365,999,1
1,5304,2997,577,0,5304,3346,0,0
0,4656,1763,0,1,5304,309,3346,1
0,4824,2268,0,1,5304,816,3346,1
0,4056,79,0,1,5304,1234,2356,1
0,4824,1621,0,1,4824,2345,1183,1
3,4824,3052,3052,0,0,0,0,2
3,4824,3052,2447,0,0,0,0,2
0,0,0,0,3,5304,2997,3346,1
0,4824,2965,0,1,5304,3346,1996,1
0,0,0,0,3,5304,123,2161,1
1,4824,2699,2282,0,4824,1372,0,0
0,4824,2785,0,1,4392,1648,2786,1
1,4824,3052,595,0,5304,3269,0,0
1,4824,2734,3052,0,1700,3052,0,0
0,4824,1142,0,1,5304,1993,3346,1
3,4824,3052,2790,0,0,0,0,2
0,4824,1308,0,1,5304,3346,1013,1
0,4042,0,0,2,4824,1690,2570,1
1,4824,3052,1192,0,5304,3346,0,0
3,4824,3052,2758,0,0,0,0,2
1,0,0,0,3,5304,1044,0,1
0,4824,1068,0,1,5304,3346,484,1
3,4824,3052,1666,0,0,0,0,2
3,4689,921,0,1,0,0,0,2
3,4824,3052,3052,0,0,0,0,2
1,0,0,0,3,4201,2040,0,1
0,4392,2786,0,1,4824,1675,2904,1
1,0,0,0,3,4824,3052,0,1
2,1841,1428,0,1,4743,0,0,2
2,2641,755,0,1,4384,0,0,2
1,4038,0,0,2,4824,536,0,1
2,4392,2109,0,1,4392,0,0,2
0,2381,1535,0,1,4392,1138,2786,1
1,4392,277,2786,0,4824,3052,0,0
1,4392,2786,1754,0,4824,3052,0,0
0,4392,2709,0,1,4824,3052,2978,1
1,4392,0,0,2,4392,2593,0,1
1,4392,523,895,0,4824,1109,0,0
2,4238,1944,0,1,4824,0,0,2
3,4360,110,0,1,0,0,0,2
0,2875,2126,0,1,4392,1362,2786,1
3,4392,2291,2786,0,0,0,0,2
3,4188,1495,671,0,0,0,0,2
0,0,0,0,3,4824,3052,1667,1
0,0,0,0,3,4824,847,3052,1
0,3561,3052,0,1,5250,3346,1151,1
1,4824,3052,859,0,4392,2786,0,0
1,0,0,0,3,4824,3052,0,1
2,4824,1799,0,1,2569,0,0,2
1,0,0,0,3,4214,2153,0,1
0,2634,1582,0,1,4824,3052,2842,1
1,80,0,0,2,2790,3052,0,1
0,0,0,0,3,4824,3052,692,1
0,3145,2620,0,1,5304,3346,3051,1
2,4824,1588,0,1,4378,0,0,2
2,4824,2831,423,0,911,0,0,2
1,4516,1294,3052,0,2590,2279,0,0
0,0,0,0,3,4824,1648,3052,1
2,3297,1018,0,1,3534,0,0,2
0,4824,3052,0,1,4824,2834,3052,1
0,3428,0,0,2,4824,2017,848,1
0,1484,609,0,1,4824,2975,3052,1
2,4581,1384,0,1,5304,0,0,2
2,4593,1242,0,1,3875,0,0,2
3,4824,3052,1453,0,0,0,0,2
1,4747,2667,332,0,5304,2648,0,0
1,4824,0,0,2,5304,458,0,1
3,4824,2152,3052,0,0,0,0,2
0,4824,103,0,1,5304,1055,3346,1
3,4824,3052,2695,0,0,0,0,2
0,0,0,0,3,4824,1672,3052,1
0,3625,47,0,1,4824,2878,1498,1
1,4392,1056,1262,0,4824,3052,0,0
1,4392,507,2786,0,4638,1468,0,0
1,4392,350,2568,0,4824,2634,0,0
0,3582,2618,0,1,4824,2468,19,1
1,4392,881,2466,0,4824,3052,0,0
2,3590,500,0,1,3369,0,0,2
1,4392,1476,2786,0,4392,2786,0,0
1,0,0,0,3,4392,2697,0,1
